filename,size,background
01-tttc-logo-horizontal-dark-background-2400x800.png,2400x800,solid background
02-tttc-icon-only-q-transparent-1600x1600.png,1600x1600,transparent
03-tttc-favicon-master-q-transparent-256x256.png,256x256,transparent
04-tttc-wordmark-light-background-2000x1000.png,2000x1000,solid background
05-tttc-monogram-t3c-transparent-1200x1200.png,1200x1200,transparent
06-tttc-badge-circular-transparent-1600x1600.png,1600x1600,transparent
07-tttc-app-icon-full-bleed-1024x1024.png,1024x1024,solid background
08-tttc-social-avatar-q-transparent-1200x1200.png,1200x1200,transparent
09-tttc-logo-stacked-transparent-1600x1600.png,1600x1600,transparent
10-tttc-logo-horizontal-light-background-2400x800.png,2400x800,solid background
11-tttc-mascot-scene-transparent-2400x1400.png,2400x1400,transparent
